               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.02656,           0.0096006,           0.0075547,             0.95362,             0.97992,             0.98313,              0.6528,            0.018185,           0.0066542,           0.0026276,           0.0099289,           0.0099289,           0.0099289
                  36,             0.02595,           0.0096536,           0.0075682,             0.94623,             0.97461,             0.97962,             0.65595,            0.018047,           0.0065953,            0.002549,           0.0099246,           0.0099246,           0.0099246
                  37,            0.026294,           0.0097209,           0.0075697,             0.95153,              0.9699,             0.98039,             0.66749,            0.017259,           0.0064997,           0.0024161,           0.0099203,           0.0099203,           0.0099203
                  38,            0.025952,           0.0094256,           0.0075339,             0.97251,             0.97001,             0.98661,             0.66594,            0.017077,           0.0066736,           0.0024124,           0.0099158,           0.0099158,           0.0099158
                  39,             0.02536,           0.0096483,           0.0076756,             0.96278,             0.95402,             0.98166,             0.67206,            0.017415,           0.0064148,           0.0024087,           0.0099112,           0.0099112,           0.0099112
                  40,            0.025189,           0.0095363,           0.0068429,             0.96069,             0.97047,             0.98508,             0.67974,            0.016914,           0.0065704,           0.0020206,           0.0099065,           0.0099065,           0.0099065
                  41,            0.025441,           0.0096182,           0.0075026,             0.95126,             0.98166,             0.98685,             0.67917,            0.016613,           0.0065743,           0.0021207,           0.0099017,           0.0099017,           0.0099017
                  42,            0.025571,           0.0092588,           0.0071647,             0.97598,             0.96509,              0.9848,             0.67781,             0.01671,           0.0066034,           0.0024388,           0.0098967,           0.0098967,           0.0098967
                  43,             0.02491,           0.0096147,           0.0075582,             0.95422,             0.94734,             0.97529,             0.68764,            0.016416,           0.0064046,           0.0025646,           0.0098916,           0.0098916,           0.0098916
                  44,            0.025273,           0.0095554,           0.0066348,             0.96538,             0.93431,             0.97918,             0.68116,            0.017002,           0.0065365,           0.0024134,           0.0098864,           0.0098864,           0.0098864
                  45,            0.024734,           0.0093391,           0.0073755,             0.92607,             0.95131,              0.9677,             0.65671,            0.017535,           0.0064928,           0.0038005,           0.0098811,           0.0098811,           0.0098811
                  46,            0.025285,            0.009329,           0.0069807,             0.97314,             0.95712,             0.96939,              0.6818,            0.016891,           0.0064079,           0.0023441,           0.0098757,           0.0098757,           0.0098757
                  47,            0.024892,           0.0092088,           0.0065472,             0.97245,             0.94873,             0.98075,             0.68534,            0.016016,           0.0064905,           0.0024628,           0.0098701,           0.0098701,           0.0098701
                  48,            0.024552,            0.009184,           0.0068148,             0.94546,              0.9823,             0.98554,             0.70522,            0.017113,           0.0062432,           0.0021077,           0.0098644,           0.0098644,           0.0098644
                  49,            0.025392,           0.0093265,           0.0073137,             0.94285,             0.96784,             0.98103,             0.67995,            0.017445,           0.0065752,           0.0023628,           0.0098586,           0.0098586,           0.0098586
                  50,            0.024632,           0.0094666,           0.0069891,             0.94089,             0.97469,             0.98164,             0.68795,             0.01625,           0.0063919,           0.0023969,           0.0098527,           0.0098527,           0.0098527
                  51,            0.024584,           0.0093182,           0.0068691,             0.96209,             0.94516,             0.97442,             0.68279,            0.016298,           0.0064024,           0.0026238,           0.0098467,           0.0098467,           0.0098467
                  52,             0.02456,           0.0094109,           0.0066341,             0.94773,              0.9717,             0.97402,             0.68211,            0.016504,           0.0063804,           0.0025767,           0.0098405,           0.0098405,           0.0098405
                  53,            0.024063,           0.0091537,           0.0067411,             0.97386,               0.949,             0.97759,             0.67834,            0.016545,           0.0062734,           0.0025697,           0.0098342,           0.0098342,           0.0098342
                  54,             0.02457,           0.0093297,           0.0070714,             0.98554,              0.9628,             0.98467,             0.69675,            0.016016,           0.0063675,           0.0020509,           0.0098278,           0.0098278,           0.0098278
                  55,            0.023567,            0.009057,           0.0062627,             0.95814,             0.97136,              0.9798,             0.69952,             0.01571,            0.006202,           0.0021197,           0.0098213,           0.0098213,           0.0098213
                  56,            0.023888,           0.0089481,           0.0066089,             0.96206,             0.95111,             0.97916,             0.68531,            0.016132,           0.0063187,           0.0024483,           0.0098147,           0.0098147,           0.0098147
                  57,            0.024056,           0.0090729,           0.0067236,             0.98955,             0.94301,             0.98567,             0.70257,            0.015318,           0.0061837,           0.0019613,           0.0098079,           0.0098079,           0.0098079
                  58,            0.024004,           0.0089483,           0.0062511,             0.97208,             0.94487,             0.97693,             0.69216,            0.015383,           0.0062343,           0.0025083,           0.0098011,           0.0098011,           0.0098011
                  59,            0.023739,           0.0091435,           0.0070816,             0.94075,             0.96427,             0.97442,             0.69682,            0.015679,           0.0061796,           0.0027033,           0.0097941,           0.0097941,           0.0097941
                  60,            0.024381,           0.0093161,           0.0060842,             0.94826,             0.98747,              0.9844,             0.69613,            0.015981,           0.0065696,           0.0019939,            0.009787,            0.009787,            0.009787
                  61,            0.023797,           0.0091863,            0.006618,             0.95818,             0.93419,             0.95916,             0.67623,            0.015828,           0.0063342,           0.0033776,           0.0097798,           0.0097798,           0.0097798
                  62,            0.024094,            0.009133,           0.0065506,             0.94146,             0.95955,             0.98099,             0.68843,            0.015683,           0.0064651,           0.0022052,           0.0097724,           0.0097724,           0.0097724
                  63,            0.023487,           0.0092837,           0.0061486,             0.96529,              0.9527,             0.97872,             0.69957,             0.01571,           0.0063055,            0.002576,            0.009765,            0.009765,            0.009765
                  64,            0.023651,           0.0091788,           0.0061236,             0.94843,             0.96392,             0.98318,             0.69026,            0.015655,           0.0062487,           0.0020553,           0.0097574,           0.0097574,           0.0097574
                  65,            0.023201,           0.0090031,           0.0060172,             0.95408,             0.96816,             0.97442,             0.68249,            0.016067,           0.0062996,           0.0024349,           0.0097497,           0.0097497,           0.0097497
                  66,            0.023312,           0.0089431,            0.006336,             0.97883,             0.94921,             0.98456,             0.70317,             0.01599,           0.0063595,           0.0019299,           0.0097419,           0.0097419,           0.0097419
                  67,            0.023111,           0.0089297,           0.0068202,             0.95462,             0.96094,             0.97619,             0.70169,            0.015456,           0.0061375,           0.0024792,            0.009734,            0.009734,            0.009734
                  68,            0.023372,           0.0089253,           0.0066686,             0.97374,             0.95309,             0.98099,             0.69792,            0.015564,           0.0062017,           0.0023748,           0.0097259,           0.0097259,           0.0097259
                  69,            0.023079,           0.0089935,           0.0056567,             0.98487,             0.96666,             0.98727,             0.71035,            0.015572,           0.0061506,           0.0015154,           0.0097178,           0.0097178,           0.0097178
                  70,            0.023476,            0.008853,           0.0057788,             0.96625,             0.97224,             0.97988,             0.69347,            0.015782,           0.0061077,           0.0018676,           0.0097095,           0.0097095,           0.0097095
                  71,            0.023151,           0.0087826,            0.005233,             0.98824,             0.93909,             0.98459,              0.6866,            0.015832,           0.0063206,           0.0024489,           0.0097011,           0.0097011,           0.0097011
                  72,            0.022457,           0.0088275,           0.0065691,             0.96678,             0.97608,              0.9817,             0.70197,            0.015568,           0.0061789,            0.001997,           0.0096926,           0.0096926,           0.0096926
                  73,            0.022902,           0.0089301,           0.0059092,             0.94288,             0.98334,             0.98202,             0.70554,            0.015144,           0.0061108,           0.0018805,            0.009684,            0.009684,            0.009684
                  74,            0.022826,             0.00894,           0.0056103,             0.97369,             0.96502,             0.98717,             0.71522,            0.015291,            0.006124,           0.0017235,           0.0096753,           0.0096753,           0.0096753
                  75,             0.02364,           0.0090415,           0.0059729,             0.93163,             0.98055,              0.9822,             0.69883,            0.015465,           0.0061656,           0.0024413,           0.0096664,           0.0096664,           0.0096664
                  76,            0.022482,           0.0089117,           0.0052804,             0.95323,             0.96253,             0.97871,             0.68744,            0.015801,           0.0062594,           0.0023623,           0.0096575,           0.0096575,           0.0096575
                  77,            0.022479,           0.0087871,           0.0065259,              0.9421,             0.98994,             0.98527,             0.72025,            0.015076,           0.0060838,           0.0019334,           0.0096484,           0.0096484,           0.0096484
                  78,            0.022547,           0.0087586,            0.005722,             0.95157,             0.98049,             0.98209,             0.70789,            0.015211,           0.0061559,           0.0019314,           0.0096392,           0.0096392,           0.0096392
                  79,            0.022164,           0.0087085,           0.0053548,             0.99286,             0.95722,             0.98859,             0.71879,            0.014738,           0.0060286,            0.001577,           0.0096299,           0.0096299,           0.0096299
                  80,            0.022544,           0.0089022,           0.0052403,             0.98884,             0.95286,             0.98731,             0.70347,            0.015189,           0.0061605,           0.0018925,           0.0096205,           0.0096205,           0.0096205
                  81,            0.022746,           0.0086725,           0.0051826,             0.96049,             0.97742,             0.98479,              0.7117,            0.015073,           0.0060591,           0.0018346,            0.009611,            0.009611,            0.009611
                  82,            0.022558,           0.0087007,            0.006492,             0.93363,             0.99675,             0.98058,             0.71537,            0.014778,           0.0060436,           0.0026032,           0.0096013,           0.0096013,           0.0096013
                  83,            0.022715,           0.0091439,           0.0064264,             0.97676,             0.96456,             0.98299,             0.71513,            0.014794,           0.0061561,            0.001946,           0.0095916,           0.0095916,           0.0095916
                  84,            0.022677,            0.008714,           0.0057192,             0.95907,             0.97104,             0.98086,             0.71359,            0.015142,           0.0060613,           0.0021685,           0.0095817,           0.0095817,           0.0095817
                  85,            0.022223,           0.0086741,           0.0055126,             0.95459,             0.97947,             0.98521,             0.70764,            0.014747,           0.0060542,           0.0019766,           0.0095717,           0.0095717,           0.0095717
                  86,            0.022274,           0.0085457,           0.0057104,             0.97611,             0.94744,             0.98568,             0.72295,            0.014815,           0.0060522,           0.0018345,           0.0095616,           0.0095616,           0.0095616
                  87,            0.021825,            0.008696,             0.00578,             0.95143,             0.97466,             0.97885,             0.71309,            0.014552,           0.0060305,           0.0019328,           0.0095514,           0.0095514,           0.0095514
                  88,            0.022099,           0.0087057,           0.0054228,             0.96254,             0.99058,             0.98816,             0.71981,            0.014355,           0.0060188,           0.0015881,           0.0095411,           0.0095411,           0.0095411
                  89,            0.022303,           0.0086415,           0.0057668,             0.97441,             0.98165,             0.98972,             0.72171,            0.014847,           0.0062344,           0.0017951,           0.0095307,           0.0095307,           0.0095307
                  90,            0.022258,           0.0088176,           0.0055541,             0.93221,             0.97775,              0.9816,             0.71726,            0.014854,           0.0059952,           0.0022047,           0.0095202,           0.0095202,           0.0095202
                  91,            0.021824,           0.0088241,           0.0052158,             0.94514,             0.95981,             0.97708,             0.71031,            0.014952,           0.0059523,           0.0025827,           0.0095095,           0.0095095,           0.0095095
                  92,            0.021615,           0.0088167,            0.004797,             0.97402,             0.96097,             0.98237,             0.71774,             0.01513,           0.0060895,           0.0018509,           0.0094988,           0.0094988,           0.0094988
                  93,            0.021891,           0.0087316,           0.0058538,             0.96043,              0.9842,             0.98557,             0.71994,            0.014899,           0.0059996,           0.0015825,           0.0094879,           0.0094879,           0.0094879
                  94,            0.021753,           0.0083382,           0.0050066,             0.96567,             0.98062,             0.98842,             0.72642,            0.014914,            0.005967,           0.0015932,           0.0094769,           0.0094769,           0.0094769
                  95,            0.022105,           0.0084271,           0.0047151,             0.97799,             0.95155,             0.98663,             0.72642,            0.014201,           0.0058979,           0.0019158,           0.0094659,           0.0094659,           0.0094659
                  96,            0.021656,            0.008638,           0.0056013,             0.97284,             0.98202,             0.98702,             0.73891,            0.014353,           0.0058889,            0.001581,           0.0094547,           0.0094547,           0.0094547
                  97,            0.021877,           0.0086112,            0.005441,             0.97886,             0.97025,             0.98941,             0.73387,            0.014475,            0.005961,           0.0016654,           0.0094434,           0.0094434,           0.0094434
